"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-E9-A1NA-01A-11R-A144-07",4001812.94253,117152.512616,30077.6360812,165508.255476,72372.0538045,831000.567847,58963.834247,121.203218285,431070.418401,117058.65306,133155.918641,140116.565057,159782.77656,111796.701377,63704.8995971,164663.041038,267027.534185,553767.391306,1008.57568631,664907.735102,621434.008544,68032.3474415,153061.275058,197741.455852,344325.187073,4323206.12135,5344967.31946,978.508527946,355221.432124,123278.755169,334782.675181,11380.6773038,128157.992158,392671.934481,421530.265211,419606.378961,3806.36452697,563.047153868,6250.41195897,2667953.70685,101016.917266,152605.153597,915884.790215,218146.561335,145677.350086,157064.709698,144122.930625,183230.275022,133696.495099,151837.815423,20319.6106088,15186.7648144,6349.88079982,0,0,3706.33932278,0,0,0,0,0,0,0,0,0,2965.07145822,0,0,0,79448.7095857
"TCGA-C8-A132-01A-31R-A115-07",7055065.53205,146479.254808,1073.08762958,399992.457902,71804.7719032,662981.433632,49004.3971667,3392.69421348,203505.917668,149999.438479,231107.442423,256989.482739,237585.241344,108937.34904,178635.596732,314094.006973,10348.6904214,562121.88321,34622.7741721,779982.124093,684419.711147,124976.300901,131132.612717,184152.508375,547234.890925,783548.790855,3515031.72053,8552.44976906,1857381.84397,172591.132419,432997.109009,78635.9239011,313070.402293,284179.376617,245279.423047,300406.204791,1331.83663435,5465.07177451,20449.8907805,1760303.93756,317803.269228,194193.668137,772573.971967,426449.515077,122811.135199,178481.748502,216228.42474,432870.285739,143354.467343,125321.957787,11850.9660091,44916.0806748,8585.96250326,0,0,0,0,0,0,0,4603.23031687,0,12934.6967582,0,0,0,0,0,0,0
"TCGA-BH-A1FL-01A-11R-A13Q-07",4678637.42242,98017.9675652,94.2066401927,464006.410301,86718.6379278,1108978.98561,60592.0052588,68.0789717434,292473.746652,85412.2857434,234872.452515,194543.395646,194322.014066,108048.59975,124182.898048,419871.088863,43806.9031354,1113687.37389,15099.6616891,703955.945339,208909.121273,331642.355927,492160.006223,81744.8847561,323370.055638,504054.934879,2503429.26666,8803.75335511,598217.933478,102369.094408,369347.003297,14940.4800265,221791.705471,204211.365932,95894.7102645,406280.282322,133.625465326,19967.4758713,7703.47421464,1327586.16392,483873.329767,102440.079125,734250.277245,524591.875465,209066.455601,306544.064355,256867.166163,252722.687156,181128.516601,172406.609895,3112.73957014,7868.66642798,15007.2685506,0,0,0,0,0,0,0,3232.95022873,0,22710.8073919,0,0,0,0,2453.57829859,0,7046.17357544
"TCGA-C8-A26X-01A-31R-A16F-07",6804218.88098,197369.075749,15933.3202289,263623.677075,70579.82134,526830.225957,84641.6330319,181.804827427,224092.025261,90480.314935,149288.840632,293116.188148,307095.489341,454832.257344,118204.86216,211637.207697,15292.3257463,616981.68828,11753.7858828,501828.804899,2331154.75634,61172.3402238,278759.838364,117456.444061,148482.958349,401013.762792,2854648.10736,10117.0792443,1444510.50317,389047.033061,390564.247504,35730.0333957,183037.528403,296547.152569,579564.70458,418667.602225,10467.5024492,35088.074907,12862.4179982,1226030.51571,170696.096535,179302.141624,1121860.56945,283471.38058,341788.287329,144782.334935,133838.673765,132191.825658,135075.80155,91644.4297252,3734.63198936,42657.5610022,2905.87765416,0,0,5559.50898417,0,0,0,0,0,0,0,0,0,4447.60718733,0,0,0,6272.26654624
"TCGA-A8-A07Z-01A-11R-A00Z-07",5636609.07657,165324.818695,186.745452083,274886.607526,87043.806209,273434.072763,54761.0683446,67.4763388735,360395.789203,35666.1907398,167214.981729,177350.550523,187096.771089,129257.462857,49870.9016249,133344.379516,75443.1869743,714625.611734,2461.93938887,1058408.00522,389427.162164,126425.641712,205975.896386,153606.866767,236709.462281,492257.612343,2872958.42997,642.033785598,607328.664373,251688.311356,426305.35283,65716.1135358,203978.161356,112769.272074,315415.325038,204813.750296,662.213085006,11626.5162879,1984.31091633,995456.17791,266049.981707,126246.662531,1065358.15078,338297.276266,218308.729291,174242.459923,171524.364135,159252.425516,116861.90498,102844.961309,804.831052045,11382.3436558,4134.2811832,0,0,0,0,0,0,0,0,0,0,0,0,4952.14985205,0,0,0,0
"TCGA-A8-A083-01A-21R-A00Z-07",3882324.1959,163520.58986,96.8754401021,156625.106368,53362.228631,986787.91411,63407.1680901,280.030381546,205823.670414,74431.4638678,122767.25565,133882.258794,236173.710297,28683.506718,43377.4578609,273911.54906,69100.6527956,1043750.45279,336.091411486,1175479.33004,534165.307971,64764.3372308,240998.27509,51397.4118243,181854.398597,317540.367688,3141587.74311,0,407753.876579,87608.9219439,375003.610076,10166.05156,201964.689504,90091.8811909,86319.0605837,187259.476845,1167.99324075,3769.58270498,1118.88525015,1549752.68126,411077.977918,149749.546972,1095885.05577,538241.299248,125525.424317,549400.064185,186900.204993,165183.338345,152557.717963,155465.137735,1182.94907639,8055.13099315,9930.82747396,0,0,0,0,0,0,0,0,0,0,0,0,2568.96053434,0,0,0,7245.78612251
"TCGA-A2-A0EX-01A-21R-A034-07",6982700.38524,156224.774531,321.781498215,434120.948248,61566.0484938,822600.97429,21895.4393071,174.40294134,173574.954653,62081.2080769,109669.764496,231850.397254,220894.698154,39438.5138779,147151.603889,339786.217028,10381.6506356,592090.489391,13507.9724388,970256.107999,377263.928402,244257.92207,538896.003284,58949.800516,428514.098388,537362.976126,5699005.37129,11062.8982463,1070334.34406,101079.38114,454962.380407,43542.3808752,254933.647926,243464.152949,138822.04392,247318.401601,11182.3960332,93760.548522,4831.43656708,1317519.98695,272469.441897,114155.042493,812495.739267,481990.505995,156099.629665,257871.221431,192017.293519,180214.792161,678529.908688,115110.093353,9245.3743442,55327.8653482,1548.64977775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-GM-A2D9-01A-11R-A18M-07",5028997.44654,156549.005395,1555.9060378,235758.927123,42027.534963,900396.163548,80033.2400522,1311.78188141,151193.268548,100941.194832,86936.4502802,362658.220555,287069.062295,49848.7475251,78363.5605798,186339.748502,4365.06651816,1096208.75958,13494.8201482,1245637.12067,520255.683156,152295.381061,107216.966092,96773.9959698,162773.721839,503185.958656,3352358.68519,3241.95715008,412705.495408,126161.254283,173321.431135,23938.9421934,220099.080145,225218.132072,267254.748982,347484.871407,1655.20711607,1780.67243889,11620.7912968,948735.989176,281230.585367,328495.959851,647449.965019,197517.526677,201276.421124,119149.138766,155075.558197,143036.491405,172840.108666,100373.335761,12666.1453679,45270.6511734,9485.01131088,0,0,0,0,0,0,0,0,0,12502.9694552,0,0,0,0,0,0,9697.81605183
"TCGA-A8-A095-01A-11R-A00Z-07",4485832.49825,132330.458981,120.297557211,391126.976199,113857.624484,986312.310781,27382.7105809,1782.14132909,510672.11952,115227.435515,436864.155779,158614.986462,305475.93134,270358.996628,60628.3955053,331046.973891,336480.163944,1130938.55675,5926.37159402,646386.124906,695795.286635,157078.910494,89193.235946,113689.92166,452897.652251,608242.97923,4026549.83668,1804.73403733,457972.392832,87914.1334258,445255.873157,38631.1997766,96529.5562537,230601.822282,143144.673939,345309.607029,14759.8053898,17677.5674478,4279.36554126,1006440.89049,235185.344587,288187.609462,1389207.22191,606620.456352,120526.361009,257817.570099,200012.148001,302883.910683,208860.647224,136030.672731,5530.1921597,22042.0719109,8626.51182695,0,0,0,0,0,0,0,8256.65822079,0,0,0,3190.0724944,3190.0724944,0,0,0,8997.64036881
"TCGA-AO-A12C-01A-11R-A10J-07",5283355.37714,67087.8754123,1055.86876939,448245.164396,68618.5898717,1691110.80145,35678.6212754,708.527536303,125494.865917,103226.921142,120900.773171,190361.534905,189120.37028,54975.1247291,157265.679107,359530.143852,113516.537352,675718.225799,11826.7133218,488402.887861,243810.313433,138623.504975,182034.211783,144646.326816,600503.397489,1100597.89332,5157649.57293,282.864416615,1566008.31074,124486.390437,458800.443442,37727.5102012,281728.419545,336470.549455,129085.224373,377904.115696,534.884026312,5040.75310785,7526.05714361,2064063.69376,489995.100049,208513.902836,1101815.06881,370250.427102,131293.826893,224595.360996,211731.567589,101010.140044,179638.90647,116241.340124,18635.617633,31326.9149006,6969.07731467,0,0,9999.900001,0,0,0,0,0,0,3636.32727309,0,0,0,0,0,0,11281.9384627
