"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-D8-A27E-01A-11R-A16F-07",4741314.16372,190865.618399,209.035343696,290509.197631,89269.5691021,1567014.60291,75775.0218435,188.82574556,133142.945354,51489.387606,97855.9294595,213381.459168,193355.166767,38901.9535927,38090.0814687,161817.153724,3078.83578956,219163.525876,4206.21475482,595677.701667,1061099.60168,60586.4413736,306400.122825,70757.6281228,387502.104609,258403.132254,3895398.47593,163.333359467,462798.205366,132289.661365,644009.120194,15998.4694248,246758.971885,131988.453655,203497.624633,113777.679718,323187.03931,24497.4201154,8112.05451301,1605262.52848,364897.927976,55992.907565,351393.039622,477170.948647,174417.064562,588130.794232,186169.215021,190880.574607,180943.88261,153072.018401,4429.40282641,21116.9240546,6690.11392308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7817.38586617
"TCGA-A7-A0D9-01A-31R-A056-07",5769893.16665,212956.955119,277.613494209,351524.539778,101215.991297,638965.923822,52172.5261108,2307.11841199,230514.831751,90782.3263822,111109.840969,256597.759991,193779.359222,103508.08695,114411.395612,242698.3388,65227.8236291,745655.712346,3467.26311297,996462.954972,271876.873911,103368.54295,240373.243839,87987.7284372,233677.292911,502007.869847,3682912.24548,347.06892215,271550.482042,103872.00493,607927.680219,19494.7449478,278355.949426,195633.679993,60470.6998177,259987.959574,4233.08268808,4829.30718441,5707.32278049,1378285.49176,116646.532764,68497.5827076,473396.076718,266117.094351,110377.105194,247014.444355,197155.967341,189307.576,3508967.82089,109846.256993,12363.3368337,92646.8883055,12091.5310866,0,4654.01472763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-E2-A15F-01A-11R-A115-07",4796096.02936,133969.297322,1341.60742383,342413.866712,60075.9283502,815054.642422,104209.436334,0,248220.56439,67214.135082,191597.159815,257112.679963,236375.362662,70388.2058599,109025.490395,127052.997418,142817.409536,539023.280048,10653.5387487,779358.21009,371461.316893,84771.0108877,190184.978015,77415.561364,259231.472616,216396.599467,2279108.29888,12626.0468801,435736.240447,126769.55287,637887.219078,19053.9462796,259671.462383,673980.715223,150267.452422,206544.189586,3277.34647634,11123.2374872,14944.2639215,1144266.69644,214007.178782,46465.8322683,603090.127944,268522.640644,165761.917303,163871.920187,180199.767111,208282.64566,1574904.07842,125028.133587,7173.99691663,35445.953775,9111.26775238,0,0,4941.24855468,0,0,0,0,0,0,0,0,0,0,0,0,0,11149.4839183
"TCGA-AC-A5XU-01A-11R-A28M-07",5234954.6047,133911.868449,999.053183026,140929.602883,68557.4929745,1209415.49065,21850.7163682,0,310922.332655,105499.99238,215844.255386,357337.32952,193184.125125,179435.46234,61111.8108282,322282.48251,92293.0498529,805473.217843,5941.76594037,639554.513723,264730.319876,250733.903934,446592.603263,139264.850142,143447.468298,631792.007831,2980579.57623,267.643673131,551694.154472,100618.003077,308371.763763,32656.9442064,241869.010385,124596.332492,192364.26548,253283.995793,5465.9045981,588.022222536,3494.60656928,1293561.24126,217556.425027,40733.114133,482141.035303,103352.564096,205277.39238,175815.078431,198051.466304,143266.894715,136889.815354,80252.0922208,6766.09269014,28782.0685136,7693.08862534,0,0,0,0,0,0,0,0,0,3440.658955,0,0,18923.6242525,0,0,0,10674.864963
"TCGA-E9-A1R4-01A-21R-A14D-07",3757654.06766,154255.857917,0,145650.472615,168973.109211,351508.542194,67799.084084,885.134737423,307341.62302,84020.3471916,188781.662349,112226.512671,116990.729116,81995.1473621,87102.6046138,151008.789616,8208.83192044,983327.064403,3116.18379668,870798.033858,449370.213196,87181.9198749,85393.9838,130184.685459,271183.471222,390432.753653,2846807.3156,2977.47831152,636434.592666,140858.839965,569031.563661,9986.31659866,259914.743588,207979.87722,517094.729644,232052.192808,772.152549932,1059.11955516,12637.5623815,1106861.20614,239247.549346,86687.4448914,1848951.91799,370248.37411,160388.433191,241875.88847,129710.74852,157835.125416,131468.710863,130227.398284,6256.31802585,30722.2698104,14606.0375071,0,0,0,0,0,0,0,0,0,0,0,0,7217.87144971,0,0,0,0
"TCGA-AR-A24S-01A-11R-A169-07",4831393.71557,116090.060312,208.083741221,280787.811599,213779.881635,648438.904391,62029.6419095,14886.9186278,677369.165576,129702.897801,389200.298799,198870.250536,298428.39295,122953.102653,191045.761414,486739.847319,8099.88101932,423257.030882,5630.88264807,812676.590786,604216.012206,122822.37903,532145.283963,103948.443538,502644.250827,998474.149548,2811644.25375,3707.0476341,669844.957501,113128.42414,423610.803832,23313.8216895,331876.229746,377939.207595,482005.117821,245637.329287,77993.9397897,56725.7929466,26628.6879411,1532926.52213,211919.836743,162237.416543,1164358.50222,534096.364867,146347.673785,358370.564889,165782.570757,190706.953086,99611.3049877,232665.502872,11434.1272828,31863.9199237,10515.2497409,0,0,6897.50310388,0,0,0,0,3570.47219495,0,5016.36589373,0,0,0,0,0,0,7781.7983736
"TCGA-E2-A572-01A-13R-A31O-07",5277123.12738,228852.882288,0,208476.211034,11240.7658037,1220563.15885,56215.3876541,150.601445699,62118.2766739,54316.766888,29626.8290836,180981.706692,103364.945708,36431.1458066,35045.1585637,71883.8489274,1607.82161365,863821.333467,3904.22784495,857475.72339,343418.046123,104932.442025,71386.0169176,45900.348252,63525.1846969,113828.072371,2734609.48443,325.673810973,1259996.42037,156718.545164,133728.174676,87970.7772588,64938.8722217,63821.1944172,209783.737647,181570.948648,147.800324717,8299.99026898,5391.59854157,474965.927491,306238.149232,40537.9249733,735370.087822,72898.1202906,307004.911253,50218.4852849,56502.4955269,77252.9518845,65923.8870063,66192.2329024,598.771470635,121376.684464,100.297432035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AR-A1AY-01A-21R-A12P-07",5911324.4851,233503.686601,0,437547.054314,236244.540167,526867.481522,61468.976675,416.835745666,624060.04534,69865.4856102,473853.554366,230281.111802,1254142.81062,397301.524737,205707.041709,565670.941015,1618.23273612,957207.167284,3023.94304741,1165482.5268,330500.242173,106085.241444,145681.243029,144867.972598,1224436.72106,300108.425114,4975197.27024,360.560910186,422222.462527,108888.48329,901564.775257,147558.16272,43639.0335518,310671.827105,104996.068972,1084929.79504,82362.0003548,1525.65022919,5448.04451621,637530.29472,88318.1516365,60903.3592954,1126508.0762,790562.094876,491767.488392,187900.754205,127262.948214,264763.72593,205238.967339,61241.6216071,13534.4852469,3520.54965329,11042.4678818,0,0,4248.88254389,0,0,0,0,0,0,3090.09639556,0,0,0,0,0,0,0
"TCGA-E9-A295-01A-11R-A16F-07",3553832.27975,177158.766817,692.999042145,163383.568237,44255.6502129,1113754.66789,25682.4848436,1001.59950746,205532.083821,83835.8473927,102378.919868,397366.744181,161361.104849,76442.4531657,91664.0005618,269146.431253,23451.8690638,771151.768194,15507.2959423,622179.672393,316431.348059,136935.062688,190761.374003,152173.523853,227692.982283,601397.297855,3541283.39839,2869.87959163,870373.302583,97544.269122,479580.968025,21188.0661293,108627.010094,143064.652007,140692.538258,216111.979253,491.485097481,4837.96965483,9764.82186904,2424014.5317,250546.064474,419460.871238,777130.529664,251561.018798,130630.413525,158150.600913,180449.466307,147666.404764,154341.159901,93453.9615369,10577.7916464,103576.965989,4335.78892546,0,0,0,0,0,0,0,11891.0482702,0,0,0,4594.26864986,0,0,0,0,12958.1936278
"TCGA-E9-A1N6-01A-11R-A144-07",4930562.56031,194989.491946,1179.22641063,362823.568166,78006.8813213,229180.378593,30431.0773625,2556.52429565,240533.41734,92679.2773715,280685.387068,235915.012846,201283.19775,153657.738797,122871.263811,192270.545852,64275.515105,665729.86927,2220.88709244,343967.944271,837285.649825,53459.5834857,139516.353973,162192.004297,390950.557578,812584.121079,3716312.49374,263.259665381,351457.620869,137050.148901,540568.636624,81479.1726342,211089.528645,190068.809961,293557.760933,554926.936506,65352.8005826,21901.716817,7627.05862484,728487.073179,141335.407793,119123.322184,1013877.69372,674270.782276,242431.358369,203072.199466,209582.147618,115813.495988,109286.025887,143742.692419,16214.6431538,32261.4278502,4053.79055767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
